Article ID,Website,Headline,Caption,Media Type,Media Link,Caption Entities,Media Main Entities,Match Rate,Detailed?,Subjective?
00FOX,FOX,"Ryan goes on offense over Medicare, accuses Obama of treating program like 'piggy bank'",Exclusive: Republican vice presidential candidate sits down with Brit Hume for first solo interview since VP announcement,VIDEO,https://a57.foxnews.com/video.foxnews.com/thumbnails/081412/640/360/931/524/081412_sr_ryanfull_640.jpg?ve=1&tl=1,"Paul Ryan, Brit Hume",Paul Ryan,0.5,,
00NYT,NYT,Battle Over Medicare Savings Intensifies Between Obama and Paul Ryan,"Representative Paul D. Ryan, at a campaign stop Tuesday in Colorado, says Medicare is “a debate we want to have.”",IMAGE,https://static01.nyt.com/images/2012/08/15/us/15medicare/15medicare-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Paul Ryan,Paul Ryan,1,,
01FOX,FOX,"Trump Bows Out as Moderator of GOP Debate, Reserves Right to Run for President","          Dec. 5, 2011: Donald Trump speaks in New York.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/trump_ny_120511.jpg?ve=1&tl=1?ve=1&tl=1,Donald Trump,Donald Trump,1,,
02FOX,FOX,"Trump declares emergency on border, eyes $8B for wall as he signs spending package",Trump says he will be signing a national emergency declaration to confront the crisis at the southern border.,VIDEO,http://video.foxnews.com/v/6002668263001,Donald Trump,Donald Trump,1,,
02NYT,NYT,"Trump Declares a National Emergency, and Provokes a Constitutional Clash","After declaring a national emergency to build a border wall, President Trump said “I want to get it done faster, that’s all.” The move bypasses Congress.",VIDEO,https://nyti.ms/2Ede7NO,"Donald Trump, Congress",Donald Trump,0.5,,
03FOX,FOX,"Double-Dip Recession Possible Without Tax Deal, Obama's Top Economic Aide Warns","          FILE: Oct. 16, 2009: Lawrence Summers, then-White House chief economic adviser, speaks at the Buttonwood Gathering in New York.
          (AP)",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Lawrence-Summers.jpg?ve=1&tl=1?ve=1&tl=1,Lawrence Summers,Lawrence Summers,1,,
04FOX,FOX,Aide to GOP lawmaker apologizes for Facebook post ripping Obama daughters,"          November 26, 2014: President Barack Obama, joined by his daughters Malia, right, and Sasha, center, speaks during the presidential turkey pardon ceremony at the White House. (AP Photo/Jacquelyn Martin)
          ",IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Obama-Turkey-Pardon_Cham640360113014.jpg?ve=1&tl=1?ve=1&tl=1,"Barack Obama, Malia Obama, Sasha Obama",,,,
04NYT,NYT,"G.O.P. Aide Quits After Ridiculing Obama’s Daughters, Sasha and Malia",A Republican spokeswoman found fault with the attire of Sasha and Malia Obama at the presidential turkey pardon.,IMAGE,https://static01.nyt.com/images/2014/12/02/us/DAUGHTERS/DAUGHTERS-articleLarge.jpg?quality=75&auto=webp&disable=upscale,"Elizabeth Lauten, Sasha Obama, Malia Obama",,,,
05FOX,FOX,Donald Trump Jr. releases messages with WikiLeaks from before election,President Trump's eldest son corresponded with WikiLeaks before the 2016 presidential election; Rep. Ron DeSantis weighs in.,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,"Donald Trump Jr., WikiLeaks, Ron DeSentis",,,,
05NYT,NYT,Donald Trump Jr. Communicated With WikiLeaks During Campaign,Donald Trump Jr. at the third presidential debate last year.,IMAGE,https://static01.nyt.com/images/2017/11/14/us/politics/14dc-wikileaks1/14dc-wikileaks1-articleLarge.jpg?quality=75&auto=webp&disable=upscale,Donald Trump Jr.,,,,
